4	2.000000	4.000000	4.000000	3.000000	2.000000	coat/rgergegge_4.jpg
12	4.000000	1.000000	0.000000	3.000000	1.000000	coat/h4y4yh_3.jpg
13	2.000000	5.000000	1.000000	5.000000	2.000000	coat/ngngtjtryjt_1.jpg
0	2.000000	4.000000	4.000000	3.000000	3.000000	coat/l8l8_1.jpg
8	4.000000	3.000000	3.000000	3.000000	3.000000	coat/htrjkuk_1.jpg
6	3.000000	4.000000	3.000000	4.000000	2.000000	coat/TB2rwBTdnfN8KJjSZFjXXXGvpXa-196993935_1.jpg
3	2.000000	5.000000	2.000000	5.000000	1.000000	coat/gegrergeg_1.jpg
10	2.000000	1.000000	3.000000	1.000000	2.000000	coat/ikj65jjytjrtj_2.jpg
7	1.000000	6.000000	2.000000	2.000000	2.000000	coat/o898_1.jpg
9	2.000000	3.000000	5.000000	2.000000	2.000000	coat/gsbsbfsfgnbsh_1.jpg
5	4.000000	5.000000	4.000000	1.000000	2.000000	coat/stesgserg_1.jpg
2	3.000000	2.000000	1.000000	1.000000	2.000000	coat/gewgesrgsegesg_2.jpg
